"","Anaheim","Arcata","Bakersfield","Barstow","Banning","Calexico","Chico","Colfax","Claremont","Delano","El Centro","El Cajon","El Monte","Fresno","Gilroy","Hayward","Indio","Palmdale","Long Beach","Los Angeles","Lodi","Madera","Merced","Modesto","Oakland","Oceanside","Oroville","Oxnard","Perris","Red Bluff","Redding","Riverside","Sacramento","San Bernardino","San Diego","San Fernando","San Francisco","Santa Ana","Santa Maria","Santa Rosa","Stockton","Santa Barbara","Salinas","Santa Cruz","Tracy","Truckee","Temecula","Turlock","Tulare","Vallejo","Victorville","Visalia","Watsonville","Weed","Yuba","Battle Mountain","Elko","Lovelock","Las Vegas","Reno","Winnemucca","Camp Verde","Casa Grande","Flagstaff","Holbrook","Kingman","Phoenix","Tolleson","Tucson","Willcox","Yuma"
"Anaheim","0","7","4","4","4","5","6","6","3","4","4","4","3","5","6","6","4","4","2","3","6","5","6","6","6","3","6","4","4","7","7","3","6","3","4","3","6","1","6","6","6","4","6","6","6","7","4","6","5","6","4","5","6","7","6","7","7","7","5","7","7","6","6","6","7","6","6","6","6","7","5"
"Arcata","7","0","7","7","8","8","5","5","7","7","8","8","7","6","6","5","8","7","7","7","6","6","6","6","5","8","5","7","8","4","4","8","5","8","8","7","5","7","7","5","6","7","6","6","6","6","8","6","6","5","7","6","6","4","5","7","7","6","8","6","6","8","8","8","8","8","8","8","8","8","8"
"Bakersfield","4","7","0","4","4","6","6","6","4","3","6","5","4","4","5","5","5","4","4","4","5","4","4","5","5","4","6","4","4","6","6","4","5","4","5","4","5","4","4","6","5","4","5","5","5","6","4","4","4","5","4","4","5","7","6","7","7","7","5","6","7","7","7","6","7","6","6","6","7","7","6"
"Barstow","4","7","4","0","4","5","7","6","4","4","5","4","4","5","6","6","4","4","4","4","6","5","5","6","6","4","6","4","4","7","7","4","6","4","4","4","6","4","5","6","6","5","6","6","6","6","4","6","4","6","3","5","6","7","6","6","7","6","4","6","7","6","6","6","6","5","6","6","7","7","5"
"Banning","4","8","4","4","0","4","7","7","4","5","4","4","4","5","6","6","3","4","4","4","6","6","6","6","6","4","7","4","3","7","7","3","6","3","4","4","6","4","5","7","6","7","6","6","6","6","3","6","5","6","4","5","6","7","7","7","7","7","5","6","7","6","6","6","6","5","5","5","6","6","4"
"Calexico","5","8","6","5","4","0","7","7","4","6","2","4","5","6","7","7","4","5","5","5","7","6","6","7","7","4","7","5","4","8","8","4","7","4","4","5","7","4","6","7","7","6","7","7","7","7","4","7","6","7","5","6","7","8","7","8","8","7","6","7","8","6","5","6","6","5","5","5","5","6","3"
"Chico","6","5","6","7","7","7","0","4","6","6","7","7","6","5","5","4","7","6","6","6","4","5","5","4","4","7","3","6","7","3","4","7","4","7","7","6","4","7","6","4","4","6","5","5","4","4","7","4","5","4","7","6","5","4","3","6","6","5","7","4","6","8","8","8","8","8","8","8","8","8","8"
"Colfax","6","5","6","6","7","7","4","0","6","5","7","7","6","5","4","4","7","6","6","6","4","4","4","4","4","7","4","6","7","4","4","6","3","6","7","6","4","6","6","4","4","6","5","4","4","4","7","4","5","4","6","5","5","5","3","6","6","4","7","4","5","8","8","8","8","7","8","8","8","8","8"
"Claremont","3","7","4","4","4","4","6","6","0","4","4","4","2","5","6","6","4","4","3","3","6","5","5","6","6","4","6","4","3","7","7","3","6","3","4","3","6","3","4","6","6","4","6","6","6","7","4","6","5","6","4","5","6","7","6","7","7","7","5","6","7","6","6","6","7","5","6","6","6","7","5"
"Delano","4","7","3","4","5","6","6","5","4","0","6","5","4","4","4","5","5","4","4","4","5","4","4","4","5","5","6","4","5","6","6","4","5","4","5","4","5","4","4","6","5","4","4","5","4","6","5","4","3","5","4","3","5","6","5","7","7","6","6","6","6","7","7","7","7","6","7","7","7","8","6"
"El Centro","4","8","6","5","4","2","7","7","4","6","0","4","4","6","7","7","4","5","5","5","7","6","6","7","7","4","7","5","4","8","8","4","7","4","4","5","7","4","6","7","7","6","7","7","7","7","4","7","6","7","4","6","7","8","7","8","8","7","6","7","8","6","5","6","6","5","5","5","5","6","4"
"El Cajon","4","8","5","4","4","4","7","7","4","5","4","0","4","6","6","6","7","4","4","4","6","6","6","6","7","3","7","4","4","7","7","4","7","4","2","4","7","4","6","7","6","5","6","6","6","7","4","6","6","7","4","6","6","8","7","7","8","8","6","7","7","6","6","6","7","6","6","6","7","6","4"
"El Monte","3","7","4","4","4","5","6","6","2","4","4","4","0","5","6","6","4","4","3","2","6","5","5","6","6","4","6","4","4","7","7","3","6","3","4","3","6","3","4","6","6","4","6","6","6","7","4","6","4","6","4","5","6","7","6","7","7","7","5","7","7","6","6","6","7","6","6","6","6","7","5"
"Fresno","5","6","4","5","5","6","5","5","5","4","6","6","5","0","4","4","6","5","5","5","4","2","4","4","4","6","5","5","5","6","6","5","4","5","6","4","4","5","4","5","4","5","4","4","4","5","5","4","3","4","5","3","4","6","5","7","7","6","6","5","6","7","7","7","7","6","7","7","8","8","8"
"Gilroy","6","6","5","6","6","7","5","4","6","4","7","6","6","4","0","4","6","5","6","6","4","4","4","4","4","6","5","5","6","5","5","6","4","6","6","5","4","6","4","4","4","5","3","3","4","5","6","4","4","4","6","4","2","6","4","7","7","6","6","5","6","8","8","7","8","7","7","7","8","8","8"
"Hayward","6","5","5","6","6","7","4","4","6","5","7","6","6","4","4","0","6","6","6","6","4","4","4","4","2","6","4","6","6","5","5","6","4","6","6","6","3","6","5","4","4","6","4","4","3","4","6","4","5","4","6","5","4","5","4","6","7","6","7","5","6","8","8","8","8","8","8","8","8","8","8"
"Indio","4","8","5","4","3","4","7","7","4","5","4","7","4","6","6","6","0","4","4","4","6","6","6","6","6","4","7","4","4","7","7","4","7","4","4","4","6","4","5","7","6","5","6","6","6","7","4","6","6","7","4","6","6","8","7","7","8","7","5","7","7","6","6","6","6","5","5","5","6","6","4"
"Palmdale","4","7","4","4","4","5","6","6","4","4","5","4","4","5","5","6","4","0","4","4","6","5","5","5","6","4","6","4","4","7","7","4","6","4","4","3","6","4","4","6","6","4","5","6","6","6","4","5","4","6","4","4","6","7","6","7","7","6","5","6","7","6","6","6","7","5","6","6","7","7","8"
"Long Beach","2","7","4","4","4","5","6","6","3","4","5","4","3","5","6","6","4","4","0","2","6","5","6","6","6","4","6","4","4","7","7","4","6","4","4","3","6","2","4","6","6","4","6","6","6","7","4","6","5","6","4","5","6","7","6","7","7","7","5","7","7","6","6","6","7","6","6","6","7","7","8"
"Los Angeles","3","7","4","4","4","5","6","6","3","4","5","4","2","5","6","6","4","4","2","0","6","5","6","6","6","4","6","4","4","7","7","4","6","4","4","3","6","3","4","6","6","4","6","6","6","7","4","6","5","6","4","5","6","7","6","7","7","7","5","7","7","6","6","6","7","6","6","6","7","7","8"
"Lodi","6","6","5","6","6","7","4","4","6","5","7","6","6","4","4","4","6","6","6","6","0","4","4","3","4","6","4","6","6","4","4","6","3","6","6","6","4","6","5","4","2","6","4","4","3","4","6","4","5","4","6","4","4","5","4","6","6","5","7","4","6","8","8","8","8","8","8","8","8","8","8"
"Madera","5","6","4","5","6","6","5","4","5","4","6","6","5","2","4","4","6","5","5","4","4","0","3","4","4","6","5","5","6","5","6","6","4","5","6","5","4","5","5","5","4","5","4","4","4","5","6","4","4","4","5","4","4","6","5","7","7","6","6","5","6","7","7","7","8","7","7","7","8","8","7"
"Merced","6","6","4","5","6","6","5","4","5","4","6","6","5","4","4","4","6","5","6","6","4","3","0","3","4","6","4","5","6","5","5","6","4","6","6","5","4","6","5","5","4","6","4","4","4","5","6","3","4","4","5","4","4","6","4","6","7","6","6","5","6","7","7","7","8","7","7","7","8","8","7"
"Modesto","6","6","5","6","6","7","4","4","6","4","7","6","6","4","4","4","6","5","6","6","3","4","3","0","4","6","4","6","6","5","5","6","4","6","6","5","4","6","5","4","3","6","4","4","3","4","6","2","4","4","6","4","4","6","4","6","7","6","6","5","6","8","8","8","8","8","8","8","8","8","8"
"Oakland","6","5","5","6","6","7","4","4","6","5","7","7","6","4","4","2","6","6","6","6","4","4","4","4","0","6","4","6","6","4","5","6","4","6","6","6","2","6","5","4","4","6","4","4","4","4","6","4","5","3","6","5","4","5","4","6","7","6","7","5","6","8","8","8","8","8","8","8","8","8","8"
"Oceanside","3","8","4","4","4","4","7","7","4","5","4","3","4","6","6","6","4","4","4","4","6","6","6","6","6","0","7","4","4","7","7","4","6","4","3","4","6","4","5","7","6","4","6","6","6","7","3","6","5","6","4","5","6","8","7","7","8","7","6","7","7","6","6","7","7","6","6","6","6","7","5"
"Oroville","6","5","6","6","7","7","3","4","6","6","7","7","6","5","5","4","7","6","6","6","4","5","4","4","4","7","0","6","7","4","4","7","4","7","7","6","4","6","6","4","4","6","5","5","4","4","7","4","5","4","6","5","5","4","3","6","6","5","7","4","6","8","8","8","8","8","8","8","8","8","8"
"Oxnard","4","7","4","4","4","5","6","6","4","4","5","4","4","5","5","6","4","4","4","4","6","5","5","6","6","4","6","0","4","7","7","4","6","4","4","4","6","4","4","6","6","3","5","5","6","7","4","6","4","6","4","4","5","7","6","7","7","6","7","7","7","7","7","7","7","6","6","6","7","7","6"
"Perris","4","8","4","4","3","4","7","7","3","5","4","4","4","5","6","6","4","4","4","4","6","6","6","6","6","4","7","4","0","7","7","2","6","3","4","4","6","4","5","6","6","4","6","6","6","6","2","6","5","6","4","5","6","7","6","7","7","7","5","6","7","6","6","6","7","5","6","6","6","7","5"
"Red Bluff","7","4","6","7","7","8","3","4","7","6","8","7","7","6","5","5","7","7","7","7","4","5","5","5","4","7","4","7","7","0","3","7","4","7","7","6","4","7","6","4","4","6","5","5","5","4","7","5","6","4","7","6","5","4","4","6","6","5","7","4","6","8","8","8","8","8","8","8","8","8","8"
"Redding","7","4","6","7","7","8","4","4","7","6","8","7","7","6","5","5","7","7","7","7","4","6","5","5","5","7","4","7","7","3","0","7","4","7","7","7","5","7","6","5","5","7","6","5","5","5","7","5","6","4","7","6","5","4","4","6","6","5","7","4","6","8","8","8","8","8","8","8","8","8","8"
"Riverside","3","8","4","4","3","4","7","6","3","4","4","4","3","5","6","6","4","4","4","4","6","6","6","6","6","4","7","4","2","7","7","0","6","2","4","4","6","3","5","6","6","4","6","6","6","6","3","6","5","6","4","5","6","7","6","7","7","7","5","6","7","6","6","6","7","5","6","6","6","7","5"
