"city","num","id","zip"
"Anaheim","1","6059","92805,92804,92801,92802,92806,92807,92808,90620,90621,92809,92867,92868,92870,92886,92887,92899,92850,92803,92812,92814,92815,92816,92817,92825"
"Arcata","2","6023","95521,95524,95519,95549,95518"
"Bakersfield","3","6029","93309,93307,93312,93304,93313,93311,93306,93305,93301,93314,93308,93203,93381,93382,93220,93302,93303,93380,93383,93384,93385,93386,93387,93388,93389,93390"
"Barstow","4","6071","92311,92327,92347,92312"
"Banning","5","6065","92220,92223,92230"
"Calexico","6","6025","92231,92249,92232"
"Chico","7","6007","95926,95928,95973,95929,95976,95927"
"Colfax","8","6091","95713"
"Claremont","9","","91711,9175"
"Delano","10","6029","93215,93250,93280,93216"
"El Centro","11","","92243,92251,92244"
"El Cajon","12","","92020,92021,92019,91941,92071,92090,92022"
"El Monte","13","","91732,91731,91733,91780,91006,91770,91735,91734"
"Fresno","14","6047","93722,93727,93702,93720,93726,93705,93710,93706,93711,93703,93704,93725,93728,93701,93730,93721,93723,93650,93619,93611,93612,93737,93724,93740,93741,93750,93760,93761,93764,93765,93780,93784,93786,93844,93888,93707,93708,93709,93712,93714,93715,93716,93717,93718,93729,93744,93745,93747,93755,93771,93772,93773,93774,93775,93776,93777,93778,93779,93790,93791,93792,93793,93794"
"Gilroy","15","6085","95020,95021"
"Hayward","16","6001","94544,94545,94541,94542,94546,94552,94580,94586,94587,94588,94540,94543,94557"
"Indio","17","4012","92201,92203,92211,92236,92241,92253,92202"
"Palmdale","18","6107","93550,93551,93552,93535,91390,93543,93591,93599,93590"
"Long Beach","19","","90805,90813,90806,90804,90815,90802,90808,90803,90807,90810,90814,90713,90731,90740,90755,90822,90831,90833,90834,90835,90840,90842,90844,90845,90846,90847,90848,90888,90899,90801,90809,90832,90853"
"Los Angeles","20","6037","93510,91301,91801,91803,91001,91006,91007,90701,90704,91702,91706,90201,90706,90210,90211,90212,91501,91502,91504,91505,91506,91302,91303,91304,91351,91387,90745,90746,90747,91384,90703,91311,91711,90220,90221,90222,91722,91723,91724,90230,90232,90630,91765,90090,90240,90241,90242,91008,91010,91731,91732,90245,91316,91436,90247,90248,90249,91201,91202,91203,91204,91205,91206,91207,91208,91210,91740,91741,91344,91745,90710,90716,90250,90254,90255,90301,90302,90303,90304,90305,91011,91214,90631,90638,90623,91744,91746,91750,93532,90712,90713,90715,93534,93535,93536,90260,93243,93543,93544,90717,90802,90803,90804,90805,90806,90807,90808,90810,90813,90814,90815,90822,90831,90001,90002,90003,90004,90005,90006,90007,90008,90010,90011,90012,90013,90014,90015,90016,90017,90018,90019,90020,90021,90022,90023,90024,90025,90026,90027,90028,90029,90031,90032,90033,90034,90035,90036,90037,90038,90039,90040,90041,90042,90043,90044,90045,90046,90047,90048,90049,90056,90057,90058,90059,90061,90062,90063,90064,90065,90066,90067,90068,90071,90077,90079,90089,90095,90073,90262,90263,90265,90266,90292,90270,91345,91016,90640,91754,91755,91020,91759,91321,91343,91601,91602,91605,91606,91324,91325,91330,90650,90272,91331,93550,93551,93552,93591,90274,91402,90723,91101,91103,91104,91105,91106,91107,93553,90660,90293,90094,91766,91767,91768,91326,90275,90277,90278,91335,93560,91770,91748,91773,91340,91775,91776,91108,90731,90732,91350,91390,90670,90401,90402,90403,90404,90405,90740,91403,91423,91024,90755,91733,90280,91030,91381,91604,91352,91040,91342,91356,91780,91362,90290,90501,90502,90503,90504,90505,90506,91042,91608,91354,91355,91607,93563,91401,91405,91406,91411,90291,91046,91789,91790,91791,91792,91307,90069,91361,90601,90602,90603,90604,90605,90606,90744,91306,91364,91367,91371,92397"
"Lodi","21","6003","95240,95242,95241"
"Madera","22","6109","93638,93637,93636,93639"
"Merced","23","6009","95341,95340,95348,95343,95344"
"Modesto","24","6005","95355,95350,95356,95354,95351,95358,95357,95368,95397,95319,95352,95353"
